,steps,vrep_steps,travelled_distances
0,344.0,472.0,14.7139263153
1,262.0,317.0,9.39377593994
2,430.0,481.0,14.6812124252
3,257.0,318.0,9.34279060364
4,331.0,397.0,12.1029844284
5,246.0,319.0,9.43401050568
6,397.0,478.0,14.6836652756
7,255.0,315.0,9.30687999725
8,375.0,457.0,13.8866729736
9,176.0,248.0,7.14010572433
10,435.0,589.0,17.8258895874
11,229.0,311.0,9.10371017456
12,392.0,527.0,15.9314212799
13,227.0,319.0,9.3379611969
14,353.0,470.0,14.2488203049
15,216.0,310.0,9.12647914886
16,302.0,411.0,12.453663826
17,210.0,301.0,8.84294605255
18,321.0,423.0,12.6804141998
19,216.0,306.0,8.9179058075
20,353.0,468.0,14.212436676
21,192.0,273.0,7.8763012886
22,354.0,477.0,14.4197378159
23,216.0,305.0,8.90105056763
24,353.0,467.0,14.2331523895
25,207.0,298.0,8.69193649292
26,398.0,541.0,16.4861373901
27,230.0,315.0,9.17810440063
28,1075.0,570.0,17.3019161224
29,501.0,26.0,0.330188065767
30,501.0,26.0,0.233336731791
31,501.0,26.0,0.280978053808
32,501.0,26.0,0.257776319981
33,501.0,26.0,0.281425625086
34,501.0,26.0,0.236751705408
35,501.0,26.0,0.243377476931
36,501.0,26.0,0.2698122859
37,501.0,26.0,0.255185723305
38,501.0,26.0,0.271202325821
39,501.0,26.0,0.24561740458
40,501.0,26.0,0.263738870621
41,501.0,26.0,0.241799518466
42,501.0,26.0,0.248561814427
43,501.0,26.0,0.264995247126
44,501.0,26.0,0.261609256268
45,501.0,26.0,0.247124135494
46,501.0,26.0,0.289553791285
47,501.0,27.0,0.274719446898
48,501.0,26.0,0.281770825386
49,501.0,26.0,0.252569079399
