distances,positions[0],positions[1],rewards,steps,travelled_distance
-0.061086297,2.3948044777,-0.1251772493,-0.000000171,1,0
-0.0448784828,2.4255125523,-0.1353129297,-6.77915810971E-08,2,0.0323375612
-0.024456501,2.4563653469,-0.146359846,-0.000000011,3,0.0651084216
-0.017021656,2.4862208366,-0.1656239927,-3.69884978391E-09,4,0.1006395012
-0.0327193737,2.5584516525,-0.174451232,-2.62709761116E-08,5,0.1734077011
-0.0139741898,2.5867891312,-0.1896100938,-0.000000002,6,0.2055449659
0.0029392242,2.5867891312,-0.1896100938,1.9044054984E-11,7,0.2055449659
0.0202058554,2.6389746666,-0.2240703553,6.18718331467E-09,8,0.2680816729
0.0335251093,2.6680839062,-0.2402487248,2.82599813133E-08,9,0.3013846378
0.0443898439,2.6971435547,-0.254252851,6.56012504932E-08,10,0.3336426403
0.0471103191,2.7269730568,-0.2619686723,7.8416851711E-08,11,0.3644538897
0.0680338144,2.7548673153,-0.2691477239,2.36175980304E-07,12,0.3932571611
0.0897908211,2.7782330513,-0.2854334414,5.42946567789E-07,13,0.4217384218
0.086337924,2.801684618,-0.3065605462,4.8268751856E-07,14,0.4533031258
0.1023643017,2.8321371079,-0.3104289174,8.04464432581E-07,15,0.4840003314
0.1204190254,2.8582167625,-0.32489115,1.30962388605E-06,16,0.5138215413
0.1321209669,2.8827512264,-0.3431152105,1.72972273412E-06,17,0.544383876
0.1324497461,2.91021204,-0.3569145799,1.74266799024E-06,18,0.5751169018
0.1228872538,2.9423961639,-0.361818701,1.39181585674E-06,19,0.6076725194
0.1164867878,2.9766616821,-0.3583829403,1.185471921E-06,20,0.6421098566
0.1295511723,3.0393323898,-0.3633899391,1.6307421803E-06,21,0.7049802601
0.1202185154,3.0676000118,-0.3587826192,1.30309279888E-06,22,0.7336208929
0.1315692663,3.0973114967,-0.3610554934,1.7081445597E-06,23,0.7634191864
0.1275868416,3.1248342991,-0.3659895062,1.5576824368E-06,24,0.7913807516
0.1409057379,3.1852581501,-0.3723123968,2.09820201139E-06,25,0.8521345229
0.1295678616,3.2159481049,-0.3656732142,1.63137249769E-06,26,0.8835343965
0.1299593449,3.2481861115,-0.3645750284,1.64620457185E-06,27,0.9157911025
0.1336786747,3.27790308,-0.3661865294,1.79162724145E-06,28,0.9455517335
0.107407093,3.3100147247,-0.3566145301,9.29309017525E-07,29,0.9790596564
0.0893979073,3.3473427296,-0.3418568075,5.35850105483E-07,30,1.0191990426
0.0728721619,3.3853480816,-0.3233579993,2.90232621508E-07,31,1.061467384
0.0689237118,3.4629807472,-0.2933405042,2.45565434686E-07,32,1.144701276
0.0650912523,3.4629807472,-0.2933405042,2.06837435825E-07,33,1.144701276
0.0609465837,3.5314917564,-0.2751192749,1.69788927284E-07,34,1.2155939526
0.0755720139,3.5674781799,-0.2780608237,3.23701155699E-07,35,1.2517003978
0.0552079678,3.5943522453,-0.2606115937,1.2620208956E-07,36,1.2837424173
0.0469204187,3.6215591431,-0.2483493388,7.74723805946E-08,37,1.3135849739
0.0292397738,3.6452720165,-0.2299742997,1.87492235349E-08,38,1.3435840143
0.0038315058,3.6452720165,-0.2299742997,4.2186132948E-11,39,1.3435840143
