distances,positions[0],positions[1],rewards,steps,travelled_distance
-0.0167123079,2.0150213242,-0.0949143618,-3.50082620029E-09,1,0
-0.0303980112,2.0441584587,-0.0886979923,-2.10667128551E-08,2,0.0297928827
-0.0868617296,2.0989060402,-0.0643479973,-4.91526211396E-07,3,0.0897113267
-0.0958982706,2.1181788445,-0.0427950248,-6.61444773873E-07,4,0.1186245003
-0.1036803722,2.1340119839,-0.0316393971,-8.35893420184E-07,5,0.1379929368
-0.1187813282,2.1483278275,-0.0227296054,-1.25691466974E-06,6,0.1548549582
-0.1187813282,2.1598031521,-0.0097333752,-1.25691466974E-06,7,0.1721923478
-0.1103416681,2.1598031521,-0.0097333752,-1.00758083716E-06,8,0.1721923478
-0.1066763401,2.1704297066,-0.0113342255,-9.10469884655E-07,9,0.1829388068
-0.1066763401,2.1800844669,-0.012425852,-9.10469884655E-07,10,0.1926550842
-0.1066763401,2.1800844669,-0.012425852,-9.10469884655E-07,11,0.1926550842
-0.1055942774,2.1878271103,-0.0127784982,-0.000000883,12,0.2004057542
-0.1035963297,2.1878271103,-0.0127784982,-8.33862360213E-07,13,0.2004057542
-0.0982372761,2.193593502,-0.0138960881,-0.000000711,14,0.2062794482
-0.0982372761,2.2002503872,-0.017929798,-0.000000711,15,0.2140630807
-0.0982372761,2.2127661705,-0.0252173059,-0.000000711,16,0.2285459189
-0.0954562426,2.2127661705,-0.0252173059,-6.52340390356E-07,17,0.2285459189
-0.0841503143,2.2263157368,-0.0236249454,-4.46918663208E-07,18,0.2421887324
-0.071187973,2.239995718,-0.0325489901,-2.70570936579E-07,19,0.2585221478
-0.0603559017,2.2631509304,-0.0450885482,-1.64899937642E-07,20,0.2848547204
-0.0603559017,2.2946369648,-0.058414124,-1.64899937642E-07,21,0.3190445044
-0.0693534613,2.328284502,-0.0589071736,-2.501875447E-07,22,0.3526956538
-0.0620342493,2.328284502,-0.0589071736,-0.000000179,23,0.3526956538
-0.0473214388,2.3582482338,-0.0685570836,-7.9475832448E-08,24,0.3841749484
