distances,positions[0],positions[1],rewards,steps,travelled_distance
0.1952815056,1.3171869516,-0.3401947618,5.58527559783E-06,1,0
0.1737072468,1.3494631052,-0.3336232007,3.9311088924E-06,2,0.0329383592
0.1454571486,1.3817609549,-0.3263041675,2.30816298663E-06,3,0.0660551124
0.1125788689,1.4461870194,-0.2807001472,1.07011858282E-06,4,0.1449882769
0.074051857,1.4815280438,-0.2485708445,3.04557377879E-07,5,0.1927510249
-0.0095251799,1.5175840855,-0.2115852535,-6.48157900194E-10,6,0.2444034409
-0.0537301302,1.5550937653,-0.1732967496,-1.16336218282E-07,7,0.2980036798
-0.0897946358,1.6226873398,-0.0971610844,-0.000000543,8,0.3998149308
-0.0872117281,1.6687834263,-0.0932355747,-4.97491814761E-07,9,0.4460778622
-0.1238238811,1.7083818913,-0.0823714584,-1.42388364212E-06,10,0.4871396139
-0.1478910446,1.7393805981,-0.0678482279,-0.000002426,11,0.5213718216
-0.176068902,1.7833502293,-0.022645101,-4.09363607514E-06,12,0.5844325158
-0.2144584656,1.7988414764,0.009422088,-7.39760003052E-06,13,0.6200454818
-0.2732555866,1.8187307119,0.0369156189,-1.5302712273E-05,14,0.6539788861
-0.3066799641,1.8403699398,0.0607849285,-0.000021633,15,0.6861968955
-0.3429620266,1.868272543,0.1200718731,-3.02551544136E-05,16,0.7517216775
-0.4012953043,1.8825315237,0.1480391175,-4.84678212093E-05,17,0.7831141176
-0.4270262718,1.8969519138,0.1740441322,-5.84016406712E-05,18,0.8128497601
-0.4522768259,1.9129760265,0.1982525438,-6.93863863905E-05,19,0.8418811118
-0.4611523151,1.9553935528,0.2330672443,-0.000073552,20,0.8967565153
-0.4998383522,1.9771344662,0.2514609098,-9.36591025075E-05,21,0.925234476
-0.5034550428,2.0165555477,0.276542604,-9.57069220161E-05,22,0.9719582713
-0.4986439943,2.0471425057,0.2771517038,-9.29893135367E-05,23,1.0025512935
-0.5158979893,2.0845508575,0.2821870148,-0.00010298,24,1.0402970103
-0.5175813437,2.1190905571,0.2890151739,-0.0001039913,25,1.0755051714
-0.5396732092,2.1861169338,0.3037447035,-0.0001178837,26,1.1441309261
-0.5580928326,2.2075228691,0.3172611892,-0.0001303709,27,1.1694471157
-0.5680522919,2.2248198986,0.3253850639,-0.0001374758,28,1.1885569186
-0.5700252056,2.240241766,0.3279516399,-0.0001389132,29,1.2041908979
-0.5685381889,2.2578949928,0.3281840384,-0.0001378289,30,1.2218456543
-0.5810937881,2.279613018,0.3271209598,-0.0001471635,31,1.2435896823
-0.5753343105,2.2975614071,0.3349006772,-0.0001428309,32,1.2631516013
-0.5681509972,2.3481323719,0.3252166212,-0.0001375475,33,1.3146414394
-0.5685603619,2.3854670525,0.3215828538,-0.000137845,34,1.3521525396
-0.5748075247,2.4259889126,0.3213259578,-0.0001424389,35,1.392675214
-0.598354578,2.4665043354,0.3235697448,-0.0001606709,36,1.4332527209
-0.5962969065,2.5336582661,0.3369517028,-0.000159019,37,1.5017270023
-0.5840426683,2.5717289448,0.3275839686,-0.0001494153,38,1.5409332648
-0.5760241747,2.6166641712,0.3188753724,-0.0001433453,39,1.5867045901
-0.5916064978,2.6631097794,0.3206677437,-0.0001552959,40,1.6331847699
-0.6120624542,2.7063574791,0.3251397908,-0.0001719683,41,1.6766630718
-0.6186240911,2.7794566155,0.3449638784,-0.0001775586,42,1.7524026136
-0.6220275164,2.8128614426,0.345379144,-0.0001805053,43,1.7858100217
-0.6268215775,2.847091198,0.3496065438,-0.0001847111,44,1.8202998327
-0.6323599219,2.881090641,0.3542279601,-0.0001896506,45,1.8546119241
-0.6509186029,2.9151668549,0.3598297834,-0.0002068432,46,1.8891455132
-0.6482242346,2.9796507359,0.3768694997,-0.0002042853,47,1.9558427608
-0.6459445357,3.0126883984,0.3776225746,-0.0002021375,48,1.9888890052
