distances,positions[0],positions[1],rewards,steps,travelled_distance
0.1522251368,1.8871361017,4.8419013023,2.64557685253E-06,1,0
0.1423331499,1.9454740286,4.864616394,2.16261616694E-06,2,0.0626042259
0.0759310722,1.9702266455,4.8908491135,3.28337026949E-07,3,0.098671491
0.0559968948,2.007694006,4.942551136,1.31690091181E-07,4,0.1625221154
0.0232719183,2.0244927406,4.9636464119,9.45274220416E-09,5,0.1894889126
-0.0008180141,2.0426428318,4.9794540405,-4.10528869922E-13,6,0.2135577084
-0.0016528368,2.0764408112,5.0084419251,-3.3865008139E-12,7,0.2580841147
-0.0041325092,2.09506917,5.0139055252,-5.29301056215E-11,8,0.2774971691
-0.0128366947,2.1125881672,5.0198960304,-1.58642995695E-09,9,0.2960120662
-0.0271749496,2.1422531605,5.0265645981,-1.50510745712E-08,10,0.3264173556
-0.0265600681,2.1525447369,5.0353484154,-1.40523454507E-08,11,0.3399477654
-0.0088624954,2.1718561649,5.0262422562,-5.22070717879E-10,12,0.3612984888
0.0042532682,2.1931147575,5.0163936615,5.77071443099E-11,13,0.3847275856
0.0152971745,2.246568203,5.0043783188,2.68469480254E-09,14,0.4395148039
0.0236985683,2.2769136429,4.9986228943,0.00000001,15,0.470401219
0.0094195604,2.3089499474,4.99305439,6.26834907398E-10,16,0.5029178769
0.0187638998,2.3371732235,5.000164032,0.000000005,17,0.5320228649
0.0296022892,2.3970544338,4.9823560715,1.9455265186E-08,18,0.5944959216
0.0374976397,2.4355809689,4.9741125107,3.95433134443E-08,19,0.6338945281
0.0399860144,2.4748365879,4.96814394,4.79496693199E-08,20,0.6736012966
0.0240665674,2.5499808788,4.9682855606,1.04545108848E-08,21,0.748745721
0.0300699472,2.5820457935,4.9620423317,2.03919736748E-08,22,0.7814127787
0.0373340845,2.6170697212,4.9541435242,0.000000039,23,0.8173163533
0.0390549898,2.6907513142,4.9428925514,4.46777043637E-08,24,0.8918519926
0.039894104,2.7284030914,4.9376015663,4.761978278E-08,25,0.9298737082
0.005527854,2.7647376061,4.9455742836,1.26686677814E-10,26,0.9670726487
0.0142056942,2.7987303734,4.955821991,2.15005043705E-09,27,1.0025765039
0.0142056942,2.8285958767,4.9492864609,2.15005043705E-09,28,1.0331487371
0.0218217373,2.8606667519,4.9403352737,7.79344065052E-09,29,1.0664453553
0.0268968344,2.8606667519,4.9403352737,1.45936783287E-08,30,1.0664453553
0.0268968344,2.8943543434,4.9320902824,1.45936783287E-08,31,1.1011272484
0.0094815493,2.930213213,4.9399752617,6.39291869192E-10,32,1.1378427958
0.0094815493,2.930213213,4.9399752617,6.39291869192E-10,33,1.1378427958
0.0132305622,3.0013492107,4.9324288368,1.7369853715E-09,34,1.209377953
0.0135791302,3.0013492107,4.9324288368,1.87792013369E-09,35,1.209377953
0.0047918558,3.0371358395,4.9288330078,8.25225212329E-11,36,1.2453447819
0.0047918558,3.0745310783,4.9318165779,8.25225212329E-11,37,1.2828588537
0.0047918558,3.1118478775,4.9331068993,8.25225212329E-11,38,1.3201979542
-0.0085939169,3.1491091251,4.9372153282,-4.76030426027E-10,39,1.3576850155
-0.0211155415,3.1868069172,4.9449510574,-7.06102794807E-09,40,1.396168324
-0.0704388618,3.2236962318,4.961564064,-2.62118849712E-07,41,1.4366258761
-0.0701160431,3.2625374794,4.9823045731,-2.58531497143E-07,42,1.4806578103
-0.0684704781,3.3027756214,4.9859275818,-2.40752798308E-07,43,1.5210587294
-0.0596302748,3.373237133,4.9792380333,-0.000000159,44,1.5918370783
-0.0782794952,3.3996608257,4.9830675125,-3.59753736342E-07,45,1.6185368245
