,steps,vrep_steps,travelled_distances
0,367.0,495.0,15.4117097855
1,243.0,312.0,9.15536975861
2,218.0,270.0,7.85274600983
3,367.0,321.0,9.42113876343
4,426.0,273.0,7.9663028717
5,320.0,316.0,9.27597236633
6,254.0,273.0,7.93321037292
7,306.0,317.0,9.30226325989
8,235.0,271.0,7.899913311
9,321.0,319.0,9.33187389374
10,230.0,276.0,7.9870929718
11,290.0,322.0,9.40885734558
12,238.0,273.0,7.84799432755
13,277.0,316.0,9.206990242
14,205.0,272.0,7.81550121307
15,238.0,322.0,9.39244937897
16,218.0,271.0,7.82080936432
17,260.0,315.0,9.1938419342
18,202.0,275.0,7.97575473785
19,238.0,320.0,9.30580711365
20,193.0,272.0,7.86679029465
21,235.0,310.0,9.02031803131
22,204.0,276.0,8.00130081177
23,252.0,312.0,9.09384346008
24,223.0,279.0,8.18002319336
25,268.0,313.0,9.13641166687
26,233.0,275.0,7.87455844879
27,305.0,316.0,9.1722202301
28,227.0,273.0,7.8886680603
29,290.0,317.0,9.25010967255
30,275.0,277.0,8.02873802185
31,299.0,306.0,8.9070148468
32,226.0,272.0,7.81300258636
33,267.0,314.0,9.13544750214
34,225.0,272.0,7.81702184677
35,269.0,321.0,9.35729312897
36,223.0,269.0,7.75384998322
37,269.0,320.0,9.35856056213
38,229.0,273.0,7.85242414474
39,267.0,322.0,9.39573192596
40,223.0,271.0,7.82917356491
41,266.0,321.0,9.39465141296
42,278.0,275.0,7.92864656448
43,340.0,316.0,9.21276092529
44,267.0,273.0,7.88897132874
45,269.0,319.0,9.3435382843
46,278.0,272.0,7.86111068726
47,224.0,317.0,9.24069499969
48,190.0,274.0,7.94307851791
49,223.0,314.0,9.10845184326
50,212.0,271.0,7.83256816864
51,224.0,313.0,9.13241863251
52,196.0,275.0,7.9530916214
53,223.0,314.0,9.14968013763
54,193.0,277.0,8.06075954437
55,216.0,309.0,8.98939037323
56,187.0,271.0,7.83134365082
57,223.0,318.0,9.26884269714
58,187.0,272.0,7.86623764038
59,220.0,312.0,9.15397357941
60,189.0,273.0,7.92772293091
61,223.0,320.0,9.31077575684
62,187.0,269.0,7.75778865814
63,223.0,318.0,9.27366638184
64,192.0,275.0,8.01993179321
65,220.0,317.0,9.25642967224
66,184.0,268.0,7.76338434219
67,220.0,313.0,9.09592533112
68,189.0,275.0,7.91200733185
69,222.0,314.0,9.12964630127
70,204.0,270.0,7.78163480759
71,241.0,320.0,9.35652542114
72,211.0,273.0,7.87755155563
73,259.0,314.0,9.14938354492
74,222.0,273.0,7.90614652634
75,259.0,319.0,9.37877559662
76,221.0,272.0,7.9155960083
77,266.0,320.0,9.41399478912
78,2900.0,271.0,7.91692686081
79,250.0,322.0,9.49124145508
80,192.0,271.0,7.82485818863
