distances,positions[0],positions[1],rewards,steps,travelled_distance
0.2559299469,4.2064900398,-0.2418968976,1.25725850764E-05,70,2.4688091143
0.2409120798,4.2064900398,-0.2418968976,1.0486655333E-05,71,2.4688091143
0.2250843048,4.2368946075,-0.2301749289,8.55257519324E-06,72,2.5013950359
0.2034463882,4.2838258743,-0.195297271,6.31555055948E-06,73,2.5598672072
0.1729156971,4.3023600578,-0.1691387147,3.87761353743E-06,74,2.5919263093
0.1606100798,4.32259655,-0.1577669233,3.10727475582E-06,75,2.6151390915
0.1647129059,4.3429136276,-0.1469252706,3.35153802285E-06,76,2.6381678795
0.174426198,4.3708963394,-0.1454925835,3.98012220632E-06,77,2.6661872434
0.174426198,4.4070091248,-0.1500748396,3.98012220632E-06,78,2.7025895831
0.1571502686,4.4389057159,-0.1413435191,2.91076166077E-06,79,2.7356596373
0.1528328657,4.4642052651,-0.1362463534,2.67738935816E-06,80,2.7614675485
0.1631915569,4.4867925644,-0.1317591816,3.25952503401E-06,81,2.7844962437
0.16731143,4.5460300446,-0.1408195943,3.51267602507E-06,82,2.8444226163
0.1478421688,4.5732584,-0.1282080114,2.42357373984E-06,83,2.8744298715
0.1800442934,4.5992650986,-0.1357444972,4.37722978376E-06,84,2.9015065587
0.1896204948,4.6333456039,-0.1495800167,5.11348622292E-06,85,2.9382883809
0.1935989857,4.6706018448,-0.1590523571,5.44214985198E-06,86,2.9767299302
0.1792337894,4.7072753906,-0.1648000181,4.31838067994E-06,87,3.0138511448
0.1562571526,4.7409219742,-0.1576572061,2.86141586892E-06,88,3.048247545
0.1591732502,4.7858095169,-0.1427553743,3.02462485309E-06,89,3.0955440151
0.1821777821,4.8015260696,-0.157457009,4.53468886611E-06,90,3.1170648908
0.1975170374,4.827378273,-0.1717492938,5.77929618095E-06,91,3.1466047931
0.2134852409,4.8576354981,-0.1866194904,7.29734419539E-06,92,3.1803186243
0.1941519976,4.8894734383,-0.1841578782,5.48891939311E-06,93,3.2122515848
0.1968103647,4.9139623642,-0.178124696,5.71748668506E-06,94,3.2374727422
0.2181398869,4.9344348908,-0.1801929027,7.78514156195E-06,95,3.2580494723
0.2321326733,4.9788603783,-0.2089406699,9.38145245301E-06,96,3.3109650472
0.2452170849,5.0108399391,-0.2227988541,1.10589384062E-05,97,3.3458181903
0.2623237371,5.044965744,-0.2395385504,1.35386086867E-05,98,3.3838285572
0.2665706873,5.0827021599,-0.2462237775,1.42068710492E-05,99,3.422152562
0.257802248,5.1192936897,-0.2513477206,1.2850539576E-05,100,3.4591011052
0.2585337162,5.1554102898,-0.2484071553,1.2960233613E-05,101,3.495337216
0.2835690975,5.1881227493,-0.250374645,1.71016481289E-05,102,3.5281087894
0.3090658188,5.2455558777,-0.2914215028,2.21418647601E-05,103,3.5987020524
0.329252243,5.2756938934,-0.3129779696,2.67699456996E-05,104,3.635755814
0.3611830473,5.3076305389,-0.3317962289,3.53381115097E-05,105,3.672824348
0.3817030191,5.3403868675,-0.3503876328,4.17097943581E-05,106,3.7104888852
0.3808771372,5.371260643,-0.3714823425,4.14396401883E-05,107,3.7478810874
0.3679256439,5.4085812569,-0.3766593337,3.73543719828E-05,108,3.7855590579
0.3851150274,5.4908666611,-0.3811519146,4.28383425788E-05,109,3.8679670127
0.4054291248,5.5230507851,-0.3981076479,4.99811328156E-05,110,3.9043444058
0.416741848,5.5230507851,-0.3981076479,5.42828452267E-05,111,3.9043444058
0.4308993816,5.5797276497,-0.4234319627,6.00051983899E-05,112,3.9664216795
0.4279834032,5.6094999313,-0.4246036112,5.87952236642E-05,113,3.9962170066
0.4409776926,5.639881134,-0.4281852841,6.43148299233E-05,114,4.0268086044
0.4443964958,5.667098999,-0.4351804852,6.5822313198E-05,115,4.0549110067
0.4402407408,5.6919765472,-0.4387412667,6.39929240691E-05,116,4.0800420944
0.4237618446,5.7184772492,-0.4363762438,5.70724892063E-05,117,4.1066481188
0.4136837721,5.7483558655,-0.4243511558,5.30966006778E-05,118,4.1388557958
0.4171296358,5.7859802246,-0.4135271907,5.44345205627E-05,119,4.1780061549
0.4037647247,5.8530392647,-0.3999141157,4.93680967589E-05,120,4.246432982
0.3932913542,5.8892436028,-0.3872271776,4.56251663938E-05,121,4.2847958872
0.3991734982,5.9233140945,-0.3855140507,4.77030737067E-05,122,4.3189094213
0.38129282,5.9528193474,-0.3692100644,4.15754678639E-05,123,4.3526196559
0.3842587471,5.9875941277,-0.3637893796,4.2553231936E-05,124,4.387814388
0.3880904913,6.0157828331,-0.3615639508,0.000043839,125,4.4160908031
0.3835343122,6.0400667191,-0.3547819853,0.000042313,126,4.441303938
0.373429656,6.0639491081,-0.3436912,0.000039056,127,4.4676359342
0.3591356277,6.0893745422,-0.3282236457,3.47405537495E-05,128,4.4973966119
0.3321610689,6.1141376495,-0.3030642569,2.74857411182E-05,129,4.5326982596
0.3083509207,6.1460795403,-0.2836385071,2.19885712851E-05,130,4.5700833386
0.3083509207,6.1779279709,-0.2669313252,2.19885712851E-05,131,4.6060479388
0.2960948944,6.2084088326,-0.2498791665,1.94694651022E-05,132,4.6409744193
0.270178318,6.2379031181,-0.232527256,1.4791517935E-05,133,4.6751943211
0.2789156437,6.266705513,-0.2148766965,1.6273459363E-05,134,4.7089747918
0.2789156437,6.3000407219,-0.2120285332,1.6273459363E-05,135,4.7424314531
0.2933077812,6.3286194801,-0.2038502395,1.89248313194E-05,136,4.7721573663
0.2758998871,6.3585591316,-0.2093994617,1.57512792701E-05,137,4.8026069409
0.2426066399,6.3812890053,-0.1963141412,1.07095028779E-05,138,4.8288342697
0.2251324654,6.4170556068,-0.1460952312,8.55806626765E-06,139,4.8904880506
0.187078476,6.4379663467,-0.123038277,4.91057934907E-06,140,4.9216149229
0.1674176455,6.4595565796,-0.0988292098,3.51937020253E-06,141,4.9540528188
0.1407972574,6.4814491272,-0.0745779127,2.09335965255E-06,142,4.9867240455
0.1255230904,6.5262932777,-0.0241985358,1.48331070952E-06,143,5.0541709094
0.0994837284,6.5480566025,0.0030250312,7.38443756675E-07,144,5.089024387
0.1039865017,6.5805101395,0.0117456373,8.43319547852E-07,145,5.122629164
0.1151440144,6.6231737137,0.0125580234,1.14494694601E-06,146,5.1653004721
0.0944211483,6.6585149765,0.0240243711,6.31348418265E-07,147,5.2024553101
0.0680077076,6.6868300438,0.0380823016,2.35904198917E-07,148,5.2340680994
0.0371655226,6.7225990295,0.0891976282,3.85018851745E-08,149,5.2964555737
0.0374410152,6.7403173447,0.0982938558,3.93644431977E-08,150,5.3163724019
0.0505586863,6.7648553848,0.0968008935,9.6927855642E-08,151,5.3409558181
0.0546987057,6.7939743996,0.0987000316,1.22741778786E-07,152,5.3701366979
0.0507547855,6.821035862,0.1051616669,9.80600825372E-08,153,5.3979589099
0.0317522287,6.841132164,0.1217052937,0.000000024,154,5.423988757
0.0165810585,6.8562645912,0.1363113523,3.4189914773E-09,155,5.4450203357
0.0613523722,6.8766341209,0.1291582435,1.73202972514E-07,156,5.4666093307
0.0498832464,6.9083108902,0.1161002144,9.30947934613E-08,157,5.5008719902
0.0338071585,6.9384636879,0.1256992668,0.000000029,158,5.5325158366
0.0309040546,6.9587621689,0.1399720758,2.21364335711E-08,159,5.5573299738
0.0364948511,6.9806785584,0.1442829072,3.64549118146E-08,160,5.5796662984
0.0301635265,6.9847631455,0.1493112445,2.05829495257E-08,161,5.5861445719
0.0442167521,6.9913811684,0.1415174305,6.48368307411E-08,162,5.5963691385
0.0591557026,7.0086250305,0.1325090528,1.55256972747E-07,163,5.6158242574
0.0891954899,7.0339827538,0.1230373383,5.32218477991E-07,164,5.6428931972
0.1000906229,7.1049461365,0.1096887738,0.000000752,165,5.7151011321
0.0909346342,7.1406106949,0.1178339124,0.000000564,166,5.7516839698
0.1027619839,7.1745462418,0.1127691045,8.13876864421E-07,167,5.7859953909
0.1209995747,7.2142128944,0.1053304225,1.32865673843E-06,168,5.8263535044
0.128619194,7.2560296059,0.1036451608,1.59580056636E-06,169,5.8682041611
0.1269700527,7.3386397362,0.1032146215,1.53520071194E-06,170,5.9508154133
0.1138641834,7.3748435974,0.1151782647,1.10719131711E-06,171,5.9889447763
0.1065790653,7.4071245194,0.1251235008,0.000000908,172,6.0227229593
0.1503651142,7.4372811317,0.1145805493,2.54977893507E-06,173,6.0546694003
0.1653393507,7.5057868958,0.0901721194,3.38992388339E-06,174,6.1273936133
0.1857756376,7.5437483788,0.0760971755,4.80869846668E-06,175,6.1678803795
0.2106183767,7.5824899674,0.0674652159,7.00728928774E-06,176,6.2075719581
0.2235047817,7.62134552,0.0569776669,8.37378334785E-06,177,6.2478179847
0.2368159294,7.6595907211,0.0482460372,9.96079492607E-06,178,6.2870472693
0.2596849203,7.7369208336,0.0261605289,1.31341344318E-05,179,6.3674693805
0.2764167786,7.7732610703,0.0142768444,0.00001584,180,6.4057033282
0.2749480009,7.8126268387,0.0174345989,1.55888099524E-05,181,6.4451955443
0.288251996,7.851937294,0.0129992338,0.000017963,182,6.4847554276
0.3078202009,7.851937294,0.0129992338,2.18752293639E-05,183,6.4847554276
0.3078202009,7.851937294,0.0129992338,2.18752293639E-05,184,6.4847554276
0.3078202009,7.8876709938,0.0029077933,2.18752293639E-05,185,6.5218867415
0.3154515028,7.8876709938,0.0029077933,2.35428516231E-05,186,6.5218867415
0.3154515028,7.9193716049,-0.0003710166,2.35428516231E-05,187,6.553756466
0.3273261786,7.9498114586,-0.0053626481,2.63028909333E-05,188,6.5846028771
0.318369627,7.9822893143,0.0054498054,2.42022726539E-05,189,6.6188332767
0.3147473335,8.0197572708,0.0168481488,2.33855421154E-05,190,6.6579966524
0.3200609684,8.054517746,0.0221335199,0.00002459,191,6.693156655
0.320530057,8.0858364105,0.0286404341,2.46983275252E-05,192,6.725144132
0.3267184496,8.1160554886,0.0373009928,2.61566572737E-05,193,6.756579748
0.3303431273,8.1688890457,0.0441783369,2.70369122041E-05,194,6.8098590368
0.3183560371,8.1918506622,0.0585207567,2.41991735068E-05,195,6.836931917
0.3093374968,8.218793869,0.0735085979,2.22003061584E-05,196,6.867763261
0.2952696085,8.218793869,0.0735085979,1.93071205407E-05,197,6.867763261
0.2952696085,8.218793869,0.0735085979,1.93071205407E-05,198,6.867763261
0.2952696085,8.2462787628,0.0929290727,1.93071205407E-05,199,6.9014170012
0.2773009539,8.2462787628,0.0929290727,1.59924629707E-05,200,6.9014170012
0.2773009539,8.2462787628,0.0929290727,1.59924629707E-05,201,6.9014170012
0.2773009539,8.2462787628,0.0929290727,1.59924629707E-05,202,6.9014170012
0.2773009539,8.2462787628,0.0929290727,1.59924629707E-05,203,6.9014170012
0.2773009539,8.2775554657,0.1178401485,1.59924629707E-05,204,6.9414019214
0.2533557415,8.2775554657,0.1178401485,0.000012197,205,6.9414019214
0.2533557415,8.2775554657,0.1178401485,0.000012197,206,6.9414019214
0.2533557415,8.3087387085,0.1480108947,0.000012197,207,6.9847916501
0.225004673,8.3416996002,0.1843443215,8.54350104543E-06,208,7.0338481307
0.2327604294,8.3416996002,0.1843443215,9.45776921769E-06,209,7.0338481307
0.2327604294,8.3871278763,0.2008513659,9.45776921769E-06,210,7.0821824951
0.2327604294,8.3871278763,0.2008513659,9.45776921769E-06,211,7.0821824951
0.2405995131,8.4272556305,0.2110147178,1.0445891138E-05,212,7.1235773061
0.2442016602,8.4272556305,0.2110147178,1.09221239201E-05,213,7.1235773061
