,vrep_steps,travelled_distances
0,300.0,9.04759120941
1,153.0,4.30131626129
2,177.0,4.99306964874
3,5397.0,170.403488159
4,5411.0,167.895706177
5,5414.0,168.39491272
6,5402.0,167.569381714
7,5436.0,169.944000244
8,5491.0,168.128417969
9,5543.0,169.820785522
